Wallet Address,Credit Score,Total Deposited,Total Borrowed,Total Repaid,Liquidation Events,Repay Ratio,Deposit/Borrow Ratio,Active Days,Risk Category
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,856,"2,052,357,968,883,093,736,521,728.00","3,755,628,440,003,415,382,163,456.00","433,843,321,542,706,232,033,280.00",0,0.12,0.55,103,Low Risk
0x003325d3054cd7668fb16f19ea11bae6d02a474c,799,0.00,0.00,0.00,0,0.00,0.00,6,Low Risk
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,999,"52,837,322,651,034,681,228,656,640.00","34,964,599,999,999,999,884,656,640.00","35,002,998,465,161,118,774,984,704.00",0,1.00,1.51,24,Low Risk
0x0034d2a08772822866b08d2c585e5c8e25723760,1000,"476,000,000,000,000,000,000.00",0.00,0.00,0,0.00,47599999999999999862829481984.00,0,Low Risk
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,799,0.00,0.00,0.00,0,0.00,0.00,30,Low Risk
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,999,"1,404,389,958,549,610,168,320.00","333,223,362,378,678,075,392.00","913,894,665.00",0,0.00,4.21,20,Low Risk
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,1000,"10,000,000,000,000,000,000.00",0.00,0.00,0,0.00,1000000000000000013287555072.00,0,Low Risk
0x0036534c48a754163f0f446601f36bcfda840f57,1000,"676,473,308,845,518,487,552.00","165,000,000,001,250,000,896.00","150,042,002,092,508,839,936.00",0,0.91,4.10,12,Low Risk
0x00368bb9dba2ee83f3553feae59710b9c3743e09,955,"600,961,657,610,252,058,624.00","500,000,000,000,000,000,000.00",0.00,0,0.00,1.20,37,Low Risk
0x0036a2f1f6136bb9d7992f7def692126a279e702,1000,"3,992,596,985,892,630.00",0.00,0.00,0,0.00,399259698589263024095232.00,0,Low Risk
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,987,"1,887,527,297,712,717,561,856.00","2,020,000,000,002,400,976,896.00","1,400,214,557,616,192,356,352.00",0,0.69,0.93,56,Low Risk
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,1000,"1,403,638,713,202,011,537,408.00","427,498,621,551,380,594,688.00","431,110,950,454,495,805,440.00",0,1.01,3.28,70,Low Risk
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1000,"1,843,331.00",0.00,0.00,0,0.00,184333100000000.00,0,Low Risk
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,1000,"49,613,617,892.00",0.00,0.00,0,0.00,4961361789200000000.00,49,Low Risk
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,767,"38,637,062,209,435,066,368.00","63,044,034,298,413,178,880.00",0.00,1,0.00,0.61,67,Low Risk
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1000,"1,100,000.00",0.00,0.00,0,0.00,110000000000000.00,0,Low Risk
0x00389de87cae34a6f89e13cc8225c4984add8b37,945,"1,484,552,936,699,507,953,893,376.00","1,258,220,767,454,137,914,753,024.00","1,423,714,851,667.00",0,0.00,1.18,58,Low Risk
0x0039e71541bdc798d062346bce94230bf519bb72,1000,"32,500,000,000,000,000.00","5,000,000,000,000,000.00",0.00,0,0.00,6.50,0,Low Risk
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,1000,"9,960,000,000,008,994,684,928.00",0.00,0.00,0,0.00,996000000000899474219065147392.00,2,Low Risk
0x003a85c562730b196f7cba202a2515f2ff855736,1000,"397,751,950,719,610,074,955,776.00","5,000,000,000,323,199,434,752.00","5,000,087,055,004,989,390,848.00",0,1.00,79.55,102,Low Risk
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,1000,"1,730,000,000,000,000,000,000.00","885,864,724.00","886,027,497.00",0,1.00,1952894108017.33,2,Low Risk
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,1000,"2,105,972.00",0.00,0.00,0,0.00,210597200000000.00,5,Low Risk
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,999,"403,647,924,878,137,884,672.00","72,500,020,209,289,379,840.00",0.00,0,0.00,5.57,79,Low Risk
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,1000,"141,678,625.00",0.00,0.00,0,0.00,14167862500000000.00,19,Low Risk
0x003be39433bde975b12411fbc3025d49d813a84f,486,0.00,"735,469.00",0.00,3,0.00,0.00,32,Medium Risk
0x003cb0842811db8d115e28f13048dd83db391dcb,1000,"1,626,066.00",0.00,0.00,0,0.00,162606600000000.00,0,Low Risk
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,1000,"6,308,462,378,533,841.00",0.00,0.00,0,0.00,630846237853384131477504.00,0,Low Risk
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,998,0.00,"1,705,879,701.00","3,412,015,169.00",0,2.00,0.00,1,Low Risk
0x003e9a119439ef34de3237034cee95675b01d5d4,1000,"12,468,633,909,189,140,480.00","17,349,700,000.00","14,071,128,198.00",0,0.81,718665677.75,92,Low Risk
